0 0 619 970
1320 0 3037 970
3037 948 3267 970
3457 948 3600 970
3600 0 3650 2800
0 -100 3600 0
-100 0 0 2800
0 2700 3600 2800
0 1583 622 2700
1013 1583 1743 2700
1743 1583 1998 1603
2166 1583 2391 1603
2391 1583 3037 2700
3037 1583 3163 1603
3345 1583 3600 1603
604 724 834 -18
644 934 844 784
1112 894 1392 604
1044 464 1392 -18
1724 1844 1984 1644
1724 1904 1864 2424
1844 2584 2244 2784
2124 1904 2344 2524
2344 1844 2164 1684
3364 224 3584 674
3224 924 3064 824
3184 824 3024 224
3324 1744 3584 1584
3024 2004 3204 2344
3584 2674 3364 2014
